뉴스 url,제목,내용,날짜
https://news.kbs.co.kr//news/view.do?ncd=7909733,다음 주까지 미복귀 전공의 처분 통지…의대 교수 반발 커져, [앵커] 정부가 의료 현장에 돌아오지 않은 전공의들에게 다음 주까지 면허정지 사전통지서 ...,2024.03.10 (12:01)
https://news.kbs.co.kr//news/view.do?ncd=7909732,헬멧 쓰고 30초 만에 금은방 턴 2인조 검거,헬멧을 쓰고 금은방에 침입해 귀금속을 훔쳐 달아난 일당이 열흘 만에 경찰에 붙잡혔습니다.인...,2024.03.10 (12:00)
https://news.kbs.co.kr//news/view.do?ncd=7909731,전국 맑고 건조해…낮 기온 어제보다 높아,오늘은 전국에 대체로 맑고 건조한 날씨가 이어지다 밤부터 차차 구름이 많아지겠습니다.  낮...,2024.03.10 (12:00)
https://news.kbs.co.kr//news/view.do?ncd=7909730,"갑질 유형만 8가지…공정위, 비엔에이치에 과징금 17억",하도급 업체에 배관공사를 맡기면서 공사 대금을 후려치는 등 갑질을 한 비엔에이치가 공정거래...,2024.03.10 (12:00)
https://news.kbs.co.kr//news/view.do?ncd=7909729,‘일자리채움 청년지원금’ 1만 명 돌파…최대 200만 원 지급,"제조업, 농업, 해운업 등 빈일자리 업종 중소기업에 취업한 청년들을 대상으로 하는 ‘일자리...",2024.03.10 (12:00)
https://news.kbs.co.kr//news/view.do?ncd=7909728,"KDI “내수 둔화 지속, 수출 회복으로 경기 부진 완화”",한국개발연구원 KDI가 최근 우리 경제에 대해 내수 둔화에도 수출이 회복되면서 경기 부진이...,2024.03.10 (12:00)
https://news.kbs.co.kr//news/view.do?ncd=7909727,“2금융권 이용 소상공인도 29일부터 이자 환급”…누가 어떻게 받나?,"은행권 대출 외에 저축은행이나 상호금융권(농협·수협·신협·산림조합·새마을금고), 카드사나 ...",2024.03.10 (12:00)
https://news.kbs.co.kr//news/view.do?ncd=7909726,"바이든 “네타냐후, 이스라엘에 해 끼쳐” 공개 비판",조 바이든 미국 대통령이 베냐민 네타냐후 이스라엘 총리를 겨냥해 “이스라엘을 돕기보다는 해...,2024.03.10 (11:59)
https://news.kbs.co.kr//news/view.do?ncd=7909725,전복 어선 예인 완료…해상 수색 중, [앵커] 어제 경남 통영 욕지도 부근 바다에서 9명이 탄 어선이 전복돼 4명이 숨졌는데요...,2024.03.10 (11:59)
https://news.kbs.co.kr//news/view.do?ncd=7909723,"‘재대결 확정’ 바이든·트럼프, 조지아에서 유세 대결",오는 11월 미국 대선에서 재대결하게 된 조 바이든 대통령과 도널드 트럼프 전 대통령이 현...,2024.03.10 (11:53)
https://news.kbs.co.kr//news/view.do?ncd=7909722,"“미일, 다음 달 정상회담에서 방위 장비 공동생산 체제 강화 논의”",미국과 일본 정부가 다음달 열리는 양국 정상회담에서 방위 장비의 ‘공동생산 체제 강화’에 ...,2024.03.10 (11:33)
https://news.kbs.co.kr//news/view.do?ncd=7909721,"서울시, 난임시술 지원비 ‘횟수’ 늘리고, ‘거주요건’ 폐지한다","서울시가 난임 시술 지원비를 받을 수 있는 ‘서울 거주 6개월’ 조건을 폐지하고, 지원 횟...",2024.03.10 (11:25)
https://news.kbs.co.kr//news/view.do?ncd=7909720,"“정부, 동반자로서 의사 존중해야”…교수·전문의 시국선언 연명 호소","정부의 의대 증원 정책에 반발해 전공의들에 이어 교수들까지 사의를 밝히고 있는 가운데, 일...",2024.03.10 (11:24)
https://news.kbs.co.kr//news/view.do?ncd=7909719,"[총선] ‘컷오프’ 민주 노웅래, 총선 불출마…“당 결정 따른다”",공천 배제를 당한 더불어민주당 4선 노웅래 의원이 오늘(10일) “당의 결정에 따르겠다”며...,2024.03.10 (11:13)
https://news.kbs.co.kr//news/view.do?ncd=7909718,교황 “협상에서 백기 들 용기있는 자가 강한 사람”,"프란치스코 교황이 2년 넘게 이어지고 있는 우크라이나 전쟁과 관련해, 상황이 악화하기 전에...",2024.03.10 (11:02)
https://news.kbs.co.kr//news/view.do?ncd=7909717,인터넷 방송 댓글로 ‘비행기 테러’ 예고한 30대 징역형 집행유예,인터넷 방송 채팅창에 ‘비행기를 테러하겠다’는 댓글을 올려 재판에 넘겨진 30대가 징역형 ...,2024.03.10 (11:00)
https://news.kbs.co.kr//news/view.do?ncd=7909716,이종호 과기정통부 장관 “딥페이크 등 AI 생산물에 ‘워터마크’ 의무화해야”,"인공지능 AI가 만드는 가짜 영상, 사진 이른바 ‘딥페이크’에 대한 우려가 커지는 가운데 ...",2024.03.10 (10:53)
https://news.kbs.co.kr//news/view.do?ncd=7909715,"가자 협상 중재국, 이슬람 금식성월 맞아 이틀 휴전 타진",이스라엘과 하마스 간 협상을 중재하고 있는 아랍국가들이 이슬람 금식성월 라마단을 맞아 이틀...,2024.03.10 (10:34)
https://news.kbs.co.kr//news/view.do?ncd=7909714,[총선] 국민의미래 비례대표 530명 신청…남성 331명·여성 199명,4·10 총선에서 국민의힘이 비례대표 위성정당으로 만든 ‘국민의미래’에 530명이 공천을 ...,2024.03.10 (10:34)
https://news.kbs.co.kr//news/view.do?ncd=7909713,[총선] 이재명 “이번 총선 ‘독재화 전환’ 기로…정권 폭주 멈춰세워야”,더불어민주당 이재명 대표는 “민주화에서 독재화로 전환 (여부가) 이번 총선에 달려 있다”면...,2024.03.10 (10:16)
https://news.kbs.co.kr//news/view.do?ncd=7909712,요즘 여자들은 만고 편하다?…세탁기의 배신 [창+],[시사기획 창 '어머니의 된장국_가사노동 해방일지' 중에서]&lt;인터뷰&gt;  웃갓 배...,2024.03.10 (10:00)
https://news.kbs.co.kr//news/view.do?ncd=7909711,"“30초 만에 금은방 털어”…2인조 절도범, 열흘 만에 검거",헬멧을 쓴 채 금은방에 침입해 귀금속 7천만 원어치를 훔쳐 달아난 일당이 열흘 만에 경찰에...,2024.03.10 (09:57)
https://news.kbs.co.kr//news/view.do?ncd=7909709,"북한 외무성 대표단, 몽골 방문…코로나19  이후 처음","북한 외무성 대표단이 코로나19 사태 이후 처음으로 몽골을 방문합니다. 북한 노동신문은 ""...",2024.03.10 (09:41)
https://news.kbs.co.kr//news/view.do?ncd=7909708,"바이든, ‘불법 이민자’ 표현 사용 후회",조 바이든 미국 대통령은 최근 국정연설에서 ‘불법 이민자’라는 표현을 사용한 데 대해 깊은...,2024.03.10 (09:24)
https://news.kbs.co.kr//news/view.do?ncd=7909706,가자 구호품 해상운송 임박…빠르면 10일 출항,팔레스타인 가자지구에 전달할 구호품을 해상으로 운송할 선박이 빠르면 현지시각 10일 키프로...,2024.03.10 (09:09)
https://news.kbs.co.kr//news/view.do?ncd=7909705,코로나 백신 접종 후 사망…법원 “인과관계 없어 보상 거부 정당”,코로나19 백신 접종 직후 사망해도 인과관계가 없다면 피해 보상을 거부할 수 있다는 법원 ...,2024.03.10 (09:01)
https://news.kbs.co.kr//news/view.do?ncd=7909704,"기아 EV9, 2024 영국 올해의 차로 선정",기아는 대형 전기차 EV9이 현지시간으로 8일 영국에서 '2024 영국 올해의 차(UK C...,2024.03.10 (09:01)
https://news.kbs.co.kr//news/view.do?ncd=7909700,전국 맑고 건조해…낮기온 어제보다 높아,오늘은 전국에 대체로 맑고 건조한 날씨가 이어지다 밤부터 차차 구름이 많아지겠습니다.  낮...,2024.03.10 (08:56)
https://news.kbs.co.kr//news/view.do?ncd=7909698,서울 강동구 빌라서 불…70대 남성 병원 이송,오늘(10일) 새벽 3시 10분쯤 서울 강동구 성내동의 한 빌라 지하 1층에서 불이 나 5...,2024.03.10 (08:12)
https://news.kbs.co.kr//news/view.do?ncd=7909697,[일요진단 라이브] 글로벌 반도체 경쟁…우리의 생존전략은?,"■ 진행 : 김대홍■ 대담 : 이종호 과학기술정보통신부 장관김대홍 :	여러분, 안녕하십니까...",2024.03.10 (08:03)
https://news.kbs.co.kr//news/view.do?ncd=7909696,"“똑똑, 복지등기 왔습니다”…치매노인 안부 묻는 집배원","■ ""편찮으신 데는 없으세요?"" 치매 환자에게 질문 건네는 집배원조그만 집이 다닥다닥 모여...",2024.03.10 (08:02)
https://news.kbs.co.kr//news/view.do?ncd=7909695,돼지 축사 2층서 불…소방서 추산 7천여만 원 재산 피해,어젯밤(9일) 10시 54분쯤 전북 정읍시 옹동면의 한 영농조합법인 소유 돼지 축사에서 불...,2024.03.10 (08:02)
https://news.kbs.co.kr//news/view.do?ncd=7909692,"미 유나이티드항공, 툭하면 비상착륙·회항…엿새간 사고 5번",미국 유나이티드항공에서 최근 하루가 멀다고 여객기 사고가 속출하고 있습니다. AP통신과 C...,2024.03.10 (07:45)
https://news.kbs.co.kr//news/view.do?ncd=7909690,[재난·안전 인사이드] 스마트폰에 미세먼지까지…“방치하면 안 돼”, [앵커] 봄엔 안구 건조증으로 고생하는 분들이 많이 늘어납니다. 봄에 기승을 부리는 미세...,2024.03.10 (07:13)
https://news.kbs.co.kr//news/view.do?ncd=7909689,‘떨어지고 골절’…새학기 놀이터 안전사고 주의, 새 학기가 시작되는 3월 교문이 활짝 열리고 아이들이 많이 오가면 걱정되는 게 크게 두 ...,2024.03.10 (07:11)
https://news.kbs.co.kr//news/view.do?ncd=7909688,환절기 고령층 결핵 ‘빨간불’…무료 검진 챙겨야," [앵커] 인류 역사상 가장 많은 목숨을 앗아간 병, 바로 결핵입니다. 사라진 줄 알았는데...",2024.03.10 (07:10)
https://news.kbs.co.kr//news/view.do?ncd=7909686,중국 “전반적 고용 압박 해소 안 돼…문제 여전”,"중국 정부가 청년 실업률을 온전히 공개하지 않을 정도로 고용 상황이 심각한 가운데, 주무 ...",2024.03.10 (07:07)
